parameterGroup,firstComponent,secondComponent,cosine
controller-extension,critic-value,move-initializer-anchor,
controller-extension,critic-value,throw-initializer-anchor,
controller-extension,critic-value,power-initializer-anchor,
controller-extension,action-bc,move-target-bc,
controller-extension,action-bc,throw-target-bc,
controller-extension,action-bc,power-bc,
controller-extension,action-bc,categorical-initializer-kl,
controller-extension,action-bc,move-initializer-anchor,
controller-extension,action-bc,throw-initializer-anchor,
controller-extension,action-bc,power-initializer-anchor,
controller-extension,move-target-bc,throw-target-bc,
controller-extension,move-target-bc,power-bc,
controller-extension,move-target-bc,categorical-initializer-kl,
controller-extension,move-target-bc,move-initializer-anchor,
controller-extension,move-target-bc,throw-initializer-anchor,
controller-extension,move-target-bc,power-initializer-anchor,
controller-extension,throw-target-bc,power-bc,
controller-extension,throw-target-bc,categorical-initializer-kl,
controller-extension,throw-target-bc,move-initializer-anchor,
controller-extension,throw-target-bc,throw-initializer-anchor,
controller-extension,throw-target-bc,power-initializer-anchor,
controller-extension,power-bc,categorical-initializer-kl,
controller-extension,power-bc,move-initializer-anchor,
controller-extension,power-bc,throw-initializer-anchor,
controller-extension,power-bc,power-initializer-anchor,
controller-extension,categorical-initializer-kl,move-initializer-anchor,
controller-extension,categorical-initializer-kl,throw-initializer-anchor,
controller-extension,categorical-initializer-kl,power-initializer-anchor,
controller-extension,move-initializer-anchor,throw-initializer-anchor,
controller-extension,move-initializer-anchor,power-initializer-anchor,
controller-extension,throw-initializer-anchor,power-initializer-anchor,
critic,ppo-actor,critic-value,
critic,ppo-actor,action-bc,
critic,ppo-actor,move-target-bc,
critic,ppo-actor,throw-target-bc,
critic,ppo-actor,power-bc,
critic,ppo-actor,categorical-initializer-kl,
critic,ppo-actor,move-initializer-anchor,
critic,ppo-actor,throw-initializer-anchor,
critic,ppo-actor,power-initializer-anchor,
critic,critic-value,action-bc,
critic,critic-value,move-target-bc,
critic,critic-value,throw-target-bc,
critic,critic-value,power-bc,
critic,critic-value,categorical-initializer-kl,
critic,critic-value,move-initializer-anchor,
critic,critic-value,throw-initializer-anchor,
critic,critic-value,power-initializer-anchor,
critic,action-bc,move-target-bc,
critic,action-bc,throw-target-bc,
critic,action-bc,power-bc,
critic,action-bc,categorical-initializer-kl,
critic,action-bc,move-initializer-anchor,
critic,action-bc,throw-initializer-anchor,
critic,action-bc,power-initializer-anchor,
critic,move-target-bc,throw-target-bc,
critic,move-target-bc,power-bc,
critic,move-target-bc,categorical-initializer-kl,
critic,move-target-bc,move-initializer-anchor,
critic,move-target-bc,throw-initializer-anchor,
critic,move-target-bc,power-initializer-anchor,
critic,throw-target-bc,power-bc,
critic,throw-target-bc,categorical-initializer-kl,
critic,throw-target-bc,move-initializer-anchor,
critic,throw-target-bc,throw-initializer-anchor,
critic,throw-target-bc,power-initializer-anchor,
critic,power-bc,categorical-initializer-kl,
critic,power-bc,move-initializer-anchor,
critic,power-bc,throw-initializer-anchor,
critic,power-bc,power-initializer-anchor,
critic,categorical-initializer-kl,move-initializer-anchor,
critic,categorical-initializer-kl,throw-initializer-anchor,
critic,categorical-initializer-kl,power-initializer-anchor,
critic,move-initializer-anchor,throw-initializer-anchor,
critic,move-initializer-anchor,power-initializer-anchor,
critic,throw-initializer-anchor,power-initializer-anchor,
